panel,prevalence_y1,test_auroc,test_auprc,test_precision,test_recall,test_f1,tp,fp,tn,fn,model,gauss,poiss
clean,0.625,0.8089196085929871,0.8916758298873901,0.6310679316520691,1.0,0.773809552192688,390,228,6,0,basic,0,0
poisson_2_gaussian_0,0.625,0.7268902063369751,0.8253294229507446,0.6290322542190552,1.0,0.7722772359848022,390,230,4,0,basic,0,2
poisson_4_gaussian_0,0.625,0.3847962021827698,0.5682423710823059,0.625,1.0,0.7692307829856873,390,234,0,0,basic,0,4
poisson_6_gaussian_0,0.625,0.214661419391632,0.4718760550022125,0.625,1.0,0.7692307829856873,390,234,0,0,basic,0,6
poisson_8_gaussian_0,0.625,0.1701074093580246,0.4515434503555298,0.6243980526924133,0.9974358677864076,0.7680158019065857,389,234,0,1,basic,0,8
poisson_10_gaussian_0,0.625,0.1096866205334663,0.4315012395381927,0.6188924908638,0.9743589758872986,0.7569721341133118,380,234,0,10,basic,0,10
poisson_0_gaussian_2,0.625,0.6713894605636597,0.7665488123893738,0.6284329295158386,0.9974358677864076,0.7710604667663574,389,230,4,1,basic,2,0
poisson_2_gaussian_2,0.625,0.5360289216041565,0.6605660319328308,0.625,1.0,0.7692307829856873,390,234,0,0,basic,2,2
poisson_0_gaussian_4,0.625,0.2446307390928268,0.4924383759498596,0.625,1.0,0.7692307829856873,390,234,0,0,basic,4,0
poisson_4_gaussian_4,0.625,0.1861385107040405,0.4602119922637939,0.625,1.0,0.7692307829856873,390,234,0,0,basic,4,4
poisson_0_gaussian_6,0.625,0.1565417647361755,0.45151486992836,0.6243980526924133,0.9974358677864076,0.7680158019065857,389,234,0,1,basic,6,0
poisson_6_gaussian_6,0.625,0.1575827300548553,0.4472725987434387,0.6243980526924133,0.9974358677864076,0.7680158019065857,389,234,0,1,basic,6,6
poisson_0_gaussian_8,0.625,0.1477427184581756,0.4458495080471039,0.6225806474685669,0.9897435903549194,0.7643564343452454,386,234,0,4,basic,8,0
poisson_8_gaussian_8,0.625,0.108689472079277,0.4310253262519836,0.6225806474685669,0.9897435903549194,0.7643564343452454,386,234,0,4,basic,8,8
poisson_0_gaussian_10,0.625,0.1405544579029083,0.4416176080703735,0.6219708919525146,0.9871794581413268,0.7631317973136902,385,234,0,5,basic,10,0
poisson_10_gaussian_10,0.625,0.0854920148849487,0.4252157807350158,0.6225806474685669,0.9897435903549194,0.7643564343452454,386,234,0,4,basic,10,10
