panel,prevalence_y1,test_auroc,test_auprc,test_precision,test_recall,test_f1,tp,fp,tn,fn,model,gauss,poiss
clean,0.625,0.9307965636253356,0.9386143684387208,0.7730923891067505,0.9871794581413268,0.8671171069145203,385,113,121,5,densenet121,0,0
poisson_2_gaussian_0,0.625,0.9257670640945436,0.9338261485099792,0.7514563202857971,0.9923076629638672,0.8552486300468445,387,128,106,3,densenet121,0,2
poisson_4_gaussian_0,0.625,0.9219427108764648,0.9275026321411132,0.7137614488601685,0.9974358677864076,0.8320855498313904,389,156,78,1,densenet121,0,4
poisson_6_gaussian_0,0.625,0.9167762398719788,0.9228315353393556,0.6854130029678345,1.0,0.8133472204208374,390,179,55,0,densenet121,0,6
poisson_8_gaussian_0,0.625,0.9164968132972716,0.928888738155365,0.6521739363670349,1.0,0.7894737124443054,390,208,26,0,densenet121,0,8
poisson_10_gaussian_0,0.625,0.9154942035675048,0.9369255304336548,0.6351791620254517,1.0,0.7768924236297607,390,224,10,0,densenet121,0,10
poisson_0_gaussian_2,0.625,0.9280571937561036,0.9374449253082277,0.7381404042243958,0.9974358677864076,0.8484187722206116,389,138,96,1,densenet121,2,0
poisson_2_gaussian_2,0.625,0.9229344725608826,0.9304796457290648,0.7190388441085815,0.9974358677864076,0.8356605768203735,389,152,82,1,densenet121,2,2
poisson_0_gaussian_4,0.625,0.9273120760917664,0.9318150281906128,0.6914893388748169,1.0,0.8176100850105286,390,174,60,0,densenet121,4,0
poisson_4_gaussian_4,0.625,0.9129355549812316,0.9146500825881958,0.6576728224754333,1.0,0.7934893369674683,390,203,31,0,densenet121,4,4
poisson_0_gaussian_6,0.625,0.9226550459861756,0.9296683073043824,0.6499999761581421,1.0,0.7878788113594055,390,210,24,0,densenet121,6,0
poisson_6_gaussian_6,0.625,0.9001971483230591,0.9083445072174072,0.6310679316520691,1.0,0.773809552192688,390,228,6,0,densenet121,6,6
poisson_0_gaussian_8,0.625,0.918896496295929,0.9292352199554444,0.6341463327407837,1.0,0.7761194109916687,390,225,9,0,densenet121,8,0
poisson_8_gaussian_8,0.625,0.863390326499939,0.8919802904129028,0.625,1.0,0.7692307829856873,390,234,0,0,densenet121,8,8
poisson_0_gaussian_10,0.625,0.9169405698776244,0.9330053329467772,0.6260032057762146,1.0,0.7699901461601257,390,233,1,0,densenet121,10,0
poisson_10_gaussian_10,0.625,0.8364178538322449,0.8869719505310059,0.625,1.0,0.7692307829856873,390,234,0,0,densenet121,10,10
