panel,prevalence_y1,test_auroc,test_auprc,test_precision,test_recall,test_f1,tp,fp,tn,fn,model,gauss,poiss
clean,0.625,0.9228522777557372,0.922459602355957,0.7886179089546204,0.9948717951774596,0.8798186182975769,388,104,130,2,efficientnet_b0,0,0
poisson_2_gaussian_0,0.625,0.872972846031189,0.8809774518013,0.7129799127578735,1.0,0.8324439525604248,390,157,77,0,efficientnet_b0,0,2
poisson_4_gaussian_0,0.625,0.7784461975097656,0.7840823531150818,0.6643952131271362,1.0,0.7983623147010803,390,197,37,0,efficientnet_b0,0,4
poisson_6_gaussian_0,0.625,0.6222934126853943,0.6593790650367737,0.6351791620254517,1.0,0.7768924236297607,390,224,10,0,efficientnet_b0,0,6
poisson_8_gaussian_0,0.625,0.5348564386367798,0.5974477529525757,0.6310679316520691,1.0,0.773809552192688,390,228,6,0,efficientnet_b0,0,8
poisson_10_gaussian_0,0.625,0.4706333577632904,0.5666741728782654,0.6260032057762146,1.0,0.7699901461601257,390,233,1,0,efficientnet_b0,0,10
poisson_0_gaussian_2,0.625,0.8591222763061523,0.8575614094734192,0.7078039646148682,1.0,0.8289054036140442,390,161,73,0,efficientnet_b0,2,0
poisson_2_gaussian_2,0.625,0.821931779384613,0.8190847635269165,0.6902654767036438,1.0,0.8167539238929749,390,175,59,0,efficientnet_b0,2,2
poisson_0_gaussian_4,0.625,0.744334876537323,0.7498618364334106,0.6701030731201172,1.0,0.8024691343307495,390,192,42,0,efficientnet_b0,4,0
poisson_4_gaussian_4,0.625,0.5896559357643127,0.6419798135757446,0.64462810754776,1.0,0.7839195728302002,390,215,19,0,efficientnet_b0,4,4
poisson_0_gaussian_6,0.625,0.5988165736198425,0.6405397653579712,0.6403940916061401,1.0,0.7807807922363281,390,219,15,0,efficientnet_b0,6,0
poisson_6_gaussian_6,0.625,0.4061911106109619,0.5343781113624573,0.6280193328857422,1.0,0.7715133428573608,390,231,3,0,efficientnet_b0,6,6
poisson_0_gaussian_8,0.625,0.4746657907962799,0.5689944624900818,0.6300484538078308,1.0,0.773042619228363,390,229,5,0,efficientnet_b0,8,0
poisson_8_gaussian_8,0.625,0.2843085527420044,0.4821872115135193,0.625,1.0,0.7692307829856873,390,234,0,0,efficientnet_b0,8,8
poisson_0_gaussian_10,0.625,0.329498142004013,0.5033159255981445,0.6260032057762146,1.0,0.7699901461601257,390,233,1,0,efficientnet_b0,10,0
poisson_10_gaussian_10,0.625,0.3012163043022156,0.4892752766609192,0.625,1.0,0.7692307829856873,390,234,0,0,efficientnet_b0,10,10
