panel,prevalence_y1,test_auroc,test_auprc,test_precision,test_recall,test_f1,tp,fp,tn,fn,model,gauss,poiss
clean,0.625,0.9401161074638368,0.9505598545074464,0.8470066785812378,0.9794871807098388,0.9084423184394836,382,69,165,8,mobilenet_v2,0,0
poisson_2_gaussian_0,0.625,0.9316568374633788,0.940979778766632,0.77182537317276,0.9974358677864076,0.8702461123466492,389,115,119,1,mobilenet_v2,0,2
poisson_4_gaussian_0,0.625,0.9266436100006104,0.927870273590088,0.7116788029670715,1.0,0.831556499004364,390,158,76,0,mobilenet_v2,0,4
poisson_6_gaussian_0,0.625,0.9266984462738036,0.9268256425857544,0.6818181872367859,1.0,0.8108108043670654,390,182,52,0,mobilenet_v2,0,6
poisson_8_gaussian_0,0.625,0.9312020540237428,0.9381369352340698,0.6621392369270325,1.0,0.7967313528060913,390,199,35,0,mobilenet_v2,0,8
poisson_10_gaussian_0,0.625,0.914502501487732,0.9236981868743896,0.6403940916061401,1.0,0.7807807922363281,390,219,15,0,mobilenet_v2,0,10
poisson_0_gaussian_2,0.625,0.9254273176193236,0.925806164741516,0.7330827116966248,1.0,0.8459869623184204,390,142,92,0,mobilenet_v2,2,0
poisson_2_gaussian_2,0.625,0.9170337319374084,0.9115553498268129,0.7052441239356995,1.0,0.8271474242210388,390,163,71,0,mobilenet_v2,2,2
poisson_0_gaussian_4,0.625,0.9204854369163512,0.9148898720741272,0.6806282997131348,1.0,0.8099688291549683,390,183,51,0,mobilenet_v2,4,0
poisson_4_gaussian_4,0.625,0.9151544570922852,0.9092174768447876,0.6532663106918335,1.0,0.7902735471725464,390,207,27,0,mobilenet_v2,4,4
poisson_0_gaussian_6,0.625,0.9169734716415404,0.912375807762146,0.6499999761581421,1.0,0.7878788113594055,390,210,24,0,mobilenet_v2,6,0
poisson_6_gaussian_6,0.625,0.9117521047592164,0.9225861430168152,0.6260032057762146,1.0,0.7699901461601257,390,233,1,0,mobilenet_v2,6,6
poisson_0_gaussian_8,0.625,0.9094127416610718,0.9079347252845764,0.6270096302032471,1.0,0.7707509994506836,390,232,2,0,mobilenet_v2,8,0
poisson_8_gaussian_8,0.625,0.853325605392456,0.8624630570411682,0.625,1.0,0.7692307829856873,390,234,0,0,mobilenet_v2,8,8
poisson_0_gaussian_10,0.625,0.8899024128913879,0.8878855109214783,0.6260032057762146,1.0,0.7699901461601257,390,233,1,0,mobilenet_v2,10,0
poisson_10_gaussian_10,0.625,0.712831437587738,0.7374792695045471,0.625,1.0,0.7692307829856873,390,234,0,0,mobilenet_v2,10,10
