panel,prevalence_y1,test_auroc,test_auprc,test_precision,test_recall,test_f1,tp,fp,tn,fn,model,gauss,poiss
clean,0.625,0.961669921875,0.9758153557777404,0.7983368039131165,0.9846153855323792,0.8817451000213623,384,97,137,6,resnet18,0,0
poisson_2_gaussian_0,0.625,0.9569361805915833,0.973701238632202,0.790123462677002,0.9846153855323792,0.8767123222351074,384,102,132,6,resnet18,0,2
poisson_4_gaussian_0,0.625,0.9492000937461852,0.968594253063202,0.7618110179901123,0.9923076629638672,0.8619153499603271,387,121,113,3,resnet18,0,4
poisson_6_gaussian_0,0.625,0.9323691129684448,0.9575732946395874,0.7348484992980957,0.9948717951774596,0.8453159332275391,388,140,94,2,resnet18,0,6
poisson_8_gaussian_0,0.625,0.9052377343177797,0.940255343914032,0.685512363910675,0.9948717951774596,0.8117154836654663,388,178,56,2,resnet18,0,8
poisson_10_gaussian_0,0.625,0.8738110661506653,0.9177243709564208,0.6626916527748108,0.9974358677864076,0.7963152527809143,389,198,36,1,resnet18,0,10
poisson_0_gaussian_2,0.625,0.9576922655105592,0.9740077257156372,0.7751004099845886,0.9897435903549194,0.869369387626648,386,112,122,4,resnet18,2,0
poisson_2_gaussian_2,0.625,0.9541858434677124,0.9719815850257874,0.7603143453598022,0.9923076629638672,0.860956609249115,387,122,112,3,resnet18,2,2
poisson_0_gaussian_4,0.625,0.9429212808609008,0.9626383185386658,0.7243947982788086,0.9974358677864076,0.8392664790153503,389,148,86,1,resnet18,4,0
poisson_4_gaussian_4,0.625,0.91451895236969,0.9451014399528505,0.6872791647911072,0.9974358677864076,0.8138075470924377,389,177,57,1,resnet18,4,4
poisson_0_gaussian_6,0.625,0.8905434608459473,0.9247397780418396,0.6730104088783264,0.9974358677864076,0.8037189841270447,389,189,45,1,resnet18,6,0
poisson_6_gaussian_6,0.625,0.7714442014694214,0.8445887565612793,0.6344262361526489,0.9923076629638672,0.7739999890327454,387,223,11,3,resnet18,6,6
poisson_0_gaussian_8,0.625,0.778095543384552,0.8422760963439941,0.649328887462616,0.9923076629638672,0.7849898338317871,387,209,25,3,resnet18,8,0
poisson_8_gaussian_8,0.625,0.5246877074241638,0.6435694694519043,0.6229507923126221,0.9743589758872986,0.7599999904632568,380,230,4,10,resnet18,8,8
poisson_0_gaussian_10,0.625,0.6037694215774536,0.6966320276260376,0.6328903436660767,0.9769230484962464,0.7681451439857483,381,221,13,9,resnet18,10,0
poisson_10_gaussian_10,0.625,0.3577032685279846,0.5203726887702942,0.6089965105056763,0.9025641083717346,0.7272727489471436,352,226,8,38,resnet18,10,10
