panel,prevalence_y1,test_auroc,test_auprc,test_precision,test_recall,test_f1,tp,fp,tn,fn,model,gauss,poiss
clean,0.625,0.9349769949913024,0.9366867542266846,0.7442747950553894,1.0,0.853391706943512,390,134,100,0,resnet34,0,0
poisson_2_gaussian_0,0.625,0.934708535671234,0.9373323917388916,0.7262569665908813,1.0,0.8414239287376404,390,147,87,0,resnet34,0,2
poisson_4_gaussian_0,0.625,0.9280133247375488,0.9317748546600342,0.6914893388748169,1.0,0.8176100850105286,390,174,60,0,resnet34,0,4
poisson_6_gaussian_0,0.625,0.91808021068573,0.9245518445968628,0.6576728224754333,1.0,0.7934893369674683,390,203,31,0,resnet34,0,6
poisson_8_gaussian_0,0.625,0.9093030691146852,0.9186888933181764,0.6351791620254517,1.0,0.7768924236297607,390,224,10,0,resnet34,0,8
poisson_10_gaussian_0,0.625,0.9051445722579956,0.9153050184249878,0.6280193328857422,1.0,0.7715133428573608,390,231,3,0,resnet34,0,10
poisson_0_gaussian_2,0.625,0.9338812828063964,0.93711656332016,0.7129799127578735,1.0,0.8324439525604248,390,157,77,0,resnet34,2,0
poisson_2_gaussian_2,0.625,0.9306103587150574,0.9338442087173462,0.698924720287323,1.0,0.8227847814559937,390,168,66,0,resnet34,2,2
poisson_0_gaussian_4,0.625,0.9220743179321288,0.9282926321029664,0.6701030731201172,1.0,0.8024691343307495,390,192,42,0,resnet34,4,0
poisson_4_gaussian_4,0.625,0.907385528087616,0.9184201955795288,0.6414473652839661,1.0,0.7815631031990051,390,218,16,0,resnet34,4,4
poisson_0_gaussian_6,0.625,0.9102125763893129,0.9180569648742676,0.636215329170227,1.0,0.7776669859886169,390,223,11,0,resnet34,6,0
poisson_6_gaussian_6,0.625,0.8989206552505493,0.9096584916114808,0.625,1.0,0.7692307829856873,390,234,0,0,resnet34,6,6
poisson_0_gaussian_8,0.625,0.9025586247444152,0.9116110801696776,0.6280193328857422,1.0,0.7715133428573608,390,231,3,0,resnet34,8,0
poisson_8_gaussian_8,0.625,0.8716304898262024,0.8931810259819031,0.625,1.0,0.7692307829856873,390,234,0,0,resnet34,8,8
poisson_0_gaussian_10,0.625,0.8957538604736328,0.9068413376808168,0.625,1.0,0.7692307829856873,390,234,0,0,resnet34,10,0
poisson_10_gaussian_10,0.625,0.8637518882751465,0.8949224948883057,0.625,1.0,0.7692307829856873,390,234,0,0,resnet34,10,10
